Timestamp,DiskUsedMB,DiskUsedPct,GrowthRateMB/min,FilesCount,IOps
2026-01-31 12:46:44,6,3,0,156,0
2026-01-31 12:46:55,16,3,54.54,491,0
2026-01-31 12:47:06,27,3,60.00,678,0
2026-01-31 12:47:17,36,3,49.09,830,0
2026-01-31 12:47:28,46,3,54.54,909,0
2026-01-31 12:47:39,53,3,38.18,983,0
2026-01-31 12:47:51,58,3,25.00,826,0
2026-01-31 12:48:02,67,3,49.09,924,0
2026-01-31 12:48:13,75,3,43.63,1023,0
2026-01-31 12:48:24,82,3,38.18,1098,0
2026-01-31 12:48:35,90,3,43.63,1207,0
2026-01-31 12:48:46,96,3,32.72,1070,0
2026-01-31 12:48:57,105,3,49.09,1261,0
2026-01-31 12:49:09,115,3,50.00,1362,0
2026-01-31 12:49:20,122,3,38.18,1458,0
2026-01-31 12:49:31,129,3,38.18,1550,0
2026-01-31 12:49:42,138,3,49.09,1637,0
2026-01-31 12:49:54,142,3,20.00,1540,0
2026-01-31 12:50:05,149,3,38.18,1644,0
2026-01-31 12:50:16,160,3,60.00,1755,0
2026-01-31 12:50:28,168,3,43.63,1875,0
2026-01-31 12:50:39,176,3,40.00,1953,0
2026-01-31 12:50:50,180,3,21.81,1874,0
2026-01-31 12:51:01,190,3,54.54,1997,0
2026-01-31 12:51:12,197,3,38.18,2116,0
2026-01-31 12:51:23,205,3,43.63,2191,0
2026-01-31 12:51:34,212,3,38.18,2276,0
2026-01-31 12:51:45,220,3,43.63,2373,0
2026-01-31 12:51:57,228,3,40.00,2313,0
2026-01-31 12:52:08,234,3,32.72,2397,0
2026-01-31 12:52:19,243,3,49.09,2517,0
2026-01-31 12:52:31,253,3,50.00,2637,0
2026-01-31 12:52:42,261,3,43.63,2724,0
2026-01-31 12:52:53,265,3,21.81,2639,0
2026-01-31 12:53:04,275,3,54.54,2748,0
2026-01-31 12:53:15,282,3,38.18,2862,0
2026-01-31 12:53:26,289,3,38.18,2956,0
2026-01-31 12:53:37,299,3,54.54,3056,0
2026-01-31 12:53:48,306,3,38.18,3152,0
2026-01-31 12:54:00,312,3,32.72,3069,0
2026-01-31 12:54:11,321,3,45.00,3151,0
2026-01-31 12:54:22,329,3,43.63,3267,0
2026-01-31 12:54:33,337,3,43.63,3356,0
2026-01-31 12:54:45,347,3,50.00,3494,0
2026-01-31 12:54:57,351,3,21.81,3396,0
2026-01-31 12:55:08,361,3,50.00,3534,0
2026-01-31 12:55:20,368,3,35.00,3635,0
2026-01-31 12:55:31,376,3,43.63,3711,0
2026-01-31 12:55:42,385,3,49.09,3801,0
2026-01-31 12:55:53,390,3,27.27,3695,0
2026-01-31 12:56:04,398,3,43.63,3836,0
2026-01-31 12:56:15,406,3,43.63,3930,0
2026-01-31 12:56:26,414,3,43.63,4025,0
2026-01-31 12:56:37,421,3,38.18,4134,0
2026-01-31 12:56:48,430,3,49.09,4219,0
2026-01-31 12:56:59,435,3,27.27,4177,0
2026-01-31 12:57:10,443,3,43.63,4285,0
2026-01-31 12:57:21,452,3,49.09,4376,0
2026-01-31 12:57:33,461,3,49.09,4498,0
2026-01-31 12:57:44,471,3,50.00,4553,0
2026-01-31 12:57:55,474,3,16.36,4480,0
2026-01-31 12:58:06,483,3,49.09,4583,0
2026-01-31 12:58:17,494,3,60.00,4678,0
2026-01-31 12:58:28,503,3,49.09,4769,0
2026-01-31 12:58:39,508,3,27.27,4906,0
2026-01-31 12:58:50,518,3,54.54,4993,0
2026-01-31 12:59:01,523,3,27.27,4924,0
2026-01-31 12:59:12,530,3,38.18,4999,0
2026-01-31 12:59:23,538,3,43.63,5105,0
2026-01-31 12:59:34,546,3,43.63,5217,0
2026-01-31 12:59:46,554,3,40.00,5331,0
2026-01-31 12:59:58,561,3,35.00,5246,0
2026-01-31 13:00:11,572,3,55.00,5376,0
2026-01-31 13:00:22,580,3,40.00,5482,0
2026-01-31 13:00:33,589,3,49.09,5569,0
2026-01-31 13:00:44,596,3,38.18,5661,0
2026-01-31 13:00:55,599,4,16.36,5569,0
2026-01-31 13:01:06,609,4,54.54,5725,0
2026-01-31 13:01:17,616,4,38.18,5821,0
2026-01-31 13:01:29,626,4,50.00,5918,0
2026-01-31 13:01:40,634,4,43.63,6015,0
2026-01-31 13:01:51,641,4,38.18,6140,0
2026-01-31 13:02:02,647,4,32.72,6009,0
2026-01-31 13:02:13,654,4,38.18,6154,0
2026-01-31 13:02:24,663,4,49.09,6263,0
2026-01-31 13:02:35,674,4,60.00,6393,0
2026-01-31 13:02:46,684,4,54.54,6572,0
2026-01-31 13:02:57,691,4,38.18,6100,0
2026-01-31 13:03:08,700,4,49.09,6212,0
2026-01-31 13:03:20,709,4,49.09,6311,0
2026-01-31 13:03:31,720,4,55.00,6411,0
2026-01-31 13:03:42,730,4,54.54,6508,0
2026-01-31 13:03:53,738,4,43.63,6340,0
2026-01-31 13:04:04,746,4,43.63,6530,0
2026-01-31 13:04:15,753,4,38.18,6616,0
2026-01-31 13:04:27,764,4,60.00,6703,0
2026-01-31 13:04:38,773,4,45.00,6810,0
2026-01-31 13:04:49,782,4,49.09,6900,0
2026-01-31 13:05:01,790,4,43.63,6824,0
2026-01-31 13:05:12,799,4,45.00,6912,0
2026-01-31 13:05:23,812,4,70.90,7041,0
2026-01-31 13:05:34,817,4,27.27,7132,0
2026-01-31 13:05:45,825,4,43.63,7218,0
2026-01-31 13:05:57,831,4,30.00,7076,0
2026-01-31 13:06:08,843,4,65.45,7237,0
2026-01-31 13:06:19,850,4,38.18,7349,0
2026-01-31 13:06:30,860,4,54.54,7416,0
2026-01-31 13:06:41,871,4,60.00,7499,0
2026-01-31 13:06:52,878,4,38.18,7569,0
2026-01-31 13:07:04,884,4,32.72,7500,0
2026-01-31 13:07:15,894,4,50.00,7631,0
2026-01-31 13:07:26,903,4,49.09,7707,0
2026-01-31 13:07:37,913,4,54.54,7794,0
2026-01-31 13:07:48,923,4,54.54,7904,0
2026-01-31 13:07:59,928,4,27.27,7769,0
2026-01-31 13:08:11,937,4,45.00,7889,0
2026-01-31 13:08:22,947,4,54.54,7994,0
2026-01-31 13:08:33,954,4,38.18,8073,0
2026-01-31 13:08:44,964,4,54.54,8200,0
2026-01-31 13:08:55,970,4,32.72,8037,0
2026-01-31 13:09:06,979,4,49.09,8197,0
2026-01-31 13:09:18,989,4,54.54,8328,0
2026-01-31 13:09:29,998,4,45.00,8407,0
2026-01-31 13:09:40,1008,4,54.54,8501,0
2026-01-31 13:09:51,1016,4,43.63,8597,0
2026-01-31 13:10:02,1023,4,38.18,8497,0
2026-01-31 13:10:14,1032,4,49.09,8610,0
2026-01-31 13:10:25,1041,4,45.00,8731,0
2026-01-31 13:10:37,1052,4,60.00,8818,0
2026-01-31 13:10:48,1059,4,35.00,8885,0
2026-01-31 13:10:59,1069,4,54.54,8804,0
2026-01-31 13:11:10,1077,4,43.63,8918,0
2026-01-31 13:11:21,1085,4,43.63,9043,0
2026-01-31 13:11:32,1093,4,43.63,9135,0
2026-01-31 13:11:44,1110,4,92.72,9225,0
2026-01-31 13:11:55,1113,4,15.00,9332,0
2026-01-31 13:12:06,1120,4,38.18,9229,0
2026-01-31 13:12:18,1129,4,49.09,9343,0
2026-01-31 13:12:29,1138,4,45.00,9436,0
2026-01-31 13:12:40,1146,4,43.63,9524,0
2026-01-31 13:12:52,1157,4,60.00,9650,0
2026-01-31 13:13:03,1163,4,30.00,9519,0
2026-01-31 13:13:14,1174,4,60.00,9634,0
2026-01-31 13:13:25,1182,4,43.63,9737,0
2026-01-31 13:13:36,1190,4,43.63,9881,0
2026-01-31 13:13:47,1201,4,60.00,9936,0
2026-01-31 13:13:58,1211,4,54.54,10061,0
2026-01-31 13:14:10,1215,4,21.81,9939,0
2026-01-31 13:14:21,1226,4,55.00,10054,0
2026-01-31 13:14:32,1240,4,76.36,10174,0
2026-01-31 13:14:43,1243,5,16.36,10260,0
2026-01-31 13:14:54,1251,5,43.63,10370,0
2026-01-31 13:15:06,1258,5,38.18,10280,0
2026-01-31 13:15:17,1269,5,55.00,10402,0
2026-01-31 13:15:28,1277,5,43.63,10478,0
2026-01-31 13:15:39,1286,5,49.09,10584,0
2026-01-31 13:15:50,1299,5,70.90,10717,0
2026-01-31 13:16:01,1301,5,10.90,10543,0
2026-01-31 13:16:13,1312,5,55.00,10704,0
2026-01-31 13:16:24,1322,5,54.54,10790,0
2026-01-31 13:16:35,1330,5,43.63,10928,0
2026-01-31 13:16:46,1339,5,49.09,10970,0
2026-01-31 13:16:58,1350,5,55.00,11082,0
2026-01-31 13:17:09,1355,5,27.27,11008,0
2026-01-31 13:17:20,1366,5,60.00,11090,0
2026-01-31 13:17:31,1375,5,49.09,11214,0
2026-01-31 13:17:42,1387,5,65.45,11325,0
2026-01-31 13:17:53,1393,5,32.72,11415,0
2026-01-31 13:18:04,1398,5,27.27,11281,0
